Código ISIC Divisão,Descrição ISIC Divisão,Código ISIC Grupo,Descrição ISIC Grupo,2023 - Valor FOB (US$),2022 - Valor FOB (US$),2021 - Valor FOB (US$),2020 - Valor FOB (US$),2019 - Valor FOB (US$),2018 - Valor FOB (US$),2017 - Valor FOB (US$),2016 - Valor FOB (US$),2015 - Valor FOB (US$),2014 - Valor FOB (US$),2013 - Valor FOB (US$),2012 - Valor FOB (US$)
58,Atividades de edição,581,"Edição de livros, periódicos e outras atividades de publicação",91378818,117452124,66453749,42412115,55093676,66373701,50323207,54839855,45872442,46883311,41715974,63681680
24,Fabricação de metais básicos,243,Fundição de metais,85217461,110050139,90136547,66625095,83844196,67884609,51936701,57244710,81210521,83964401,79703531,76265651
26,"Fabricação de produtos informáticos, eletrônicos e ópticos",266,"Fabricação de equipamentos de irradiação, eletromédicos e eletroterapêuticos",57137609,60177610,46399810,44830153,46673933,36080310,52425681,38024924,38728682,34354390,28982811,30860386
03,Pesca e Aquicultura,031,Pesca,55347016,72133715,58729060,35366271,48710656,50204974,39857365,43665489,35315448,27730035,25029800,21084258
30,Fabricação de outro equipamento de transporte,302,Fabricação de locomotivas e material circulante,43381939,53330533,39101428,42329657,122016961,80608884,131936615,281842315,138504211,104804503,174033685,93668484
02,Silvicultura e exploração madeireira,023,Recolha de produtos florestais não madeireiros,30440203,55495832,44167370,27842346,43060847,33038224,34325206,21838150,23122213,18625396,14620798,63997483
27,Fabricação de equipamentos elétricos,274,Fabricação de equipamentos de iluminação elétrica,23947784,20890552,15729521,11661068,23741515,21214660,24165487,24848689,30946639,37425974,38455535,42655784
19,Fabricação de coque e produtos petrolíferos refinados,191,Coquerias,22547075,34187137,15897847,10155217,16480612,10632700,7136952,5701292,1786555,1386090,934762,190510
32,Outras manufaturas,323,Fabricação de artigos esportivos,14443984,19091695,16462503,11657867,10492009,10631099,10098201,9817269,8838536,10481325,11780702,11835853
32,Outras manufaturas,324,Fabricação de jogos e brinquedos,13113619,17830453,15536124,10942456,12512105,15808183,14561775,14732375,13057844,13563738,14315058,13270242
06,Extração de petróleo bruto e gás natural,062,Extração de gás natural,11162064,3584398,35649266,25516525,4765,703,46819717,94259749,560459,51061800,23179468,137031471
01,"Produção vegetal, animal e caça",013,Cultivo de plantas,11126571,10551421,13754850,10168461,9736367,11007475,11219462,11955863,15449391,22517891,22511286,24533936
14,Fabricação de vestuário,143,Fabricação de vestuário de malha,10432762,9974531,6774292,5142082,8404206,10286548,8502592,7239459,8435601,9059492,7103315,7484279
26,"Fabricação de produtos informáticos, eletrônicos e ópticos",268,Fabricação de mídia magnética e óptica,6388657,9516444,3487796,6614209,4914874,11116669,18885924,11167299,10033047,12416997,8549034,12484950
18,Impressão e reprodução de mídia gravada,181,Impressão e serviços relacionados com impressão,4886154,4408210,5468697,4223412,4493532,5072131,6119455,4825679,5504326,4714068,6546505,6703985
32,Outras manufaturas,322,Fabricação de instrumentos musicais,3640663,3990318,4736001,4072817,4857472,4604125,4347510,4369226,4279312,4960973,4468097,4364534
03,Pesca e Aquicultura,032,Aquicultura,2833314,1855103,7671191,1338704,3878271,1760459,744879,246719,8416,329,228,375
26,"Fabricação de produtos informáticos, eletrônicos e ópticos",267,Fabricação de instrumentos ópticos e equipamento fotográfico,2367314,3437679,4884764,3518902,7901925,7550058,4584735,4353992,5118262,5241990,4803604,5212532
14,Fabricação de vestuário,142,Fabricação de artigos de peles,1801470,2775862,2870859,2143270,1464403,1337878,2152909,2474352,2649292,2007543,2239271,2479454
38,"Atividades de coleta, tratamento e disposição de resíduos; recuperação de materiais",383,Recuperação de Materiais,1023894,1303315,1345441,689513,601353,421436,349507,349938,443848,382996,472006,694208
05,Mineração de carvão e lignito,051,Mineração de Carvão,289722,88257631,278396,483702,579030,337032,121148,179524,466167,351595,127829,92364
91,"Bibliotecas, arquivos, museus e outras atividades culturais",910,"Bibliotecas, arquivos, museus e outras atividades culturais",196691,381462,1347121,74926,134405,877748,335890,427362,686328,130708,141883,165823
53,Atividades postais e de courier,531,Atividades postais,166794,134700,55939,27543,35872,157793,254560,305909,46593,70272,0,18433
05,Mineração de carvão e lignito,052,Mineração de lignito,43212,77421,57488,48328,43398,12350,13429,16424,30335,116758,0,0
74,"Outras atividades profissionais, científicas e técnicas",742,Atividades fotográficas,20034,18295,45180,266031,305600,340091,232260,322695,232480,135220,783,718
35,"Fornecimento de eletricidade, gás, vapor e ar condicionado",352,Fabricação de gás; distribuição de combustíveis gasosos através da rede,2640,2580,0,0,0,0,0,0,1,0,1835,0
59,"Produção de filmes, vídeos e programas de televisão, gravação de som e edição de música",591,"Atividades de filmes, vídeos e programas de televisão",0,0,0,0,12000,258,866,0,401,218341,26972,4492
01,"Produção vegetal, animal e caça",017,"Caça, captura e atividades de serviços relacionados",0,0,0,0,1825,904,0,11200,424828,0,0,585
